APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
"",Morchanga Jaw Harp with Tail,Other,"",,1,1%,0,$50.00,$50.00,2%
"",Dirtwire Woodpecker Banjo Foil Poster ,Poster,"",,7,5%,0,$55.00,$385.00,12%
"",Sticker- Dirtwire Holographic,Stickers,"",,0,0%,0,$0.00,$0.00,0%
"",Pinecone Necklaces with Logo,Jewelry,"",,0,0%,0,$0.00,$0.00,0%
"",Brin Larson Posters,Poster,"",,0,0%,0,$0.00,$0.00,0%

TOTAL OTHER,"","","","",111,76%,1,"","$1,708.00",54%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
"",Dirtwire Self Titled Album,Vinyl,"",,3,2%,1,$35.00,$105.00,3%
"",Dirtwire Electric River Double LP,Vinyl,"",,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Ghostcatcher EP,Vinyl,"",,1,1%,1,$30.00,$30.00,1%
"",Dirtwire Polychrome Album,Vinyl,"",,1,1%,1,$35.00,$35.00,1%

TOTAL MUSIC,"","","","",5,3%,3,"",$170.00,5%

GRAND TOTAL,"","","","",146,"",6,"","$3,138.00"
